id,price_doc
30474,5503015.8025
30475,8358840.20243
30476,5344753.2726
30477,6311779.98224
30478,5117793.54624
30479,10265716.1939
30480,4192978.47749
30481,4348581.76685
30482,4863329.79609
30483,5209954.59471
30484,6235559.38009
30485,5095796.99335
30486,3852066.54743
30487,4259919.86618
30488,6948962.28128
30489,5818331.16797
30490,23619915.2593
30491,17846423.6764
30492,5909792.40697
30493,13209565.9711
30494,7304250.22062
30495,10577849.3227
30496,7736787.68528
30497,7556156.0456
30498,4485105.56931
30499,7803081.88748
30500,12152327.7134
30501,6874922.38426
30502,3088274.37836
30503,5905634.69628
30504,6170458.11045
30505,10842235.7383
30506,2922493.6161
30507,4877175.48301
30508,5115749.49593
30509,7457959.78732
30510,9161235.2079
30511,6377734.61045
30512,6373470.95601
30513,4176641.8398
30514,3467862.98501
30515,10260334.7409
30516,5762422.31433
30517,12568247.3978
30518,7603435.72913
30519,4779837.97725
30520,7454415.44906
30521,5363832.70617
30522,7320641.0479
30523,6375439.88359
30524,10505735.3733
30525,10027897.7247
30526,4812540.36314
30527,5000440.44118
30528,6666025.24297
30529,6478268.41832
30530,6241884.08309
30531,14633473.3389
30532,4843825.39235
30533,10633819.3284
30534,7383443.11995
30535,9132917.57155
30536,5311835.06664
30537,11438409.1025
30538,4864411.23871
30539,6722651.32767
30540,9308911.57451
30541,5976901.96022
30542,2044819.02123
30543,5544665.70851
30544,6596743.86994
30545,8505140.85744
30546,4240839.37303
30547,11271439.8928
30548,4652030.17338
30549,5608216.13012
30550,11986871.6613
30551,5651194.50868
30552,2019842.00292
30553,7617523.5095
30554,10628055.0726
30555,5963428.82948
30556,9411705.43578
30557,7311642.94795
30558,8911305.82671
30559,5868066.7594
30560,5864251.09644
30561,6735141.41951
30562,13700470.5356
30563,4200686.14911
30564,7580591.93215
30565,7401453.77908
30566,6634475.57565
30567,2038171.52422
30568,9759785.85585
30569,10396452.7487
30570,6639194.51936
30571,8304494.72012
30572,4825607.11606
30573,6243608.97515
30574,6087174.19685
30575,7101655.89058
30576,4490294.59324
30577,3843854.48792
30578,3059850.23103
30579,7135073.96728
30580,4468755.21478
30581,5270137.51666
30582,12868390.8137
30583,7293885.93104
30584,4604899.39295
30585,2920535.76217
30586,8911844.66503
30587,5941811.91874
30588,8013890.70469
30589,7531116.26699
30590,10790925.4931
30591,5232357.41326
30592,6772979.1425
30593,7764706.90136
30594,6309052.56912
30595,5315743.23648
30596,6114607.30143
30597,6214210.78963
30598,9343368.67765
30599,10138040.9854
30600,5346582.79983
30601,6111834.79454
30602,1963029.81168
30603,12468487.013
30604,4569062.54332
30605,7427292.21566
30606,26078445.7288
30607,6388709.58553
30608,9251766.87389
30609,5882816.51264
30610,3015536.21246
30611,5032922.09953
30612,7453660.37936
30613,9605584.75884
30614,17602477.372
30615,7713563.70261
30616,5275036.52894
30617,9261326.71185
30618,5097335.60436
30619,3914524.65476
30620,2884587.39306
30621,9138292.81569
30622,8422826.43413
30623,6091065.23212
30624,6854066.1783
30625,7737897.28056
30626,6444563.01729
30627,6899332.80713
30628,6221009.59663
30629,5097534.34603
30630,4258480.21433
30631,6077643.69384
30632,4317791.6641
30633,6287774.22182
30634,11234816.8061
30635,9395652.34535
30636,5473559.21897
30637,9460328.83139
30638,5910302.61698
30639,7742581.27586
30640,4799456.41852
30641,7563248.66562
30642,6452508.54839
30643,8254284.29999
30644,9438365.98262
30645,6991581.20252
30646,5488035.61044
30647,4963006.40822
30648,25439221.2855
30649,2719152.83539
30650,4960045.78356
30651,2869956.97357
30652,4764310.57041
30653,7539188.20507
30654,4490842.30117
30655,14437114.5397
30656,3762605.49983
30657,6098621.34702
30658,12998514.4348
30659,4934688.61575
30660,8720970.48732
30661,6390360.94647
30662,9318265.05735
30663,15869494.9863
30664,11744306.6837
30665,5863899.08904
30666,2780195.75336
30667,4185811.00705
30668,10273225.1664
30669,4511683.09446
30670,2557603.76673
30671,6998077.48373
30672,16618577.5615
30673,9514662.85045
30674,11609568.7602
30675,2044304.04976
30676,6822783.97025
30677,4624886.08836
30678,12896168.4933
30679,5795983.03124
30680,4851393.47382
30681,2227226.98728
30682,8660017.64958
30683,9664807.30119
30684,4953089.71908
30685,7054193.89546
30686,9383964.34246
30687,4975312.21698
30688,4673337.54641
30689,14503393.0519
30690,26115944.0103
30691,4790814.6139
30692,5733516.06076
30693,10562038.9994
30694,5368523.58916
30695,7860863.53947
30696,6621586.6724
30697,11922497.8451
30698,6767542.96588
30699,5579271.45341
30700,4888986.04051
30701,9445628.5719
30702,6164563.6808
30703,4000712.5272
30704,13049844.2776
30705,9169128.05447
30706,23896714.0583
30707,3514308.70592
30708,14142592.4158
30709,5526592.01575
30710,6913509.41596
30711,4758040.05547
30712,4124276.64809
30713,5966562.5402
30714,6550759.66858
30715,3771677.2091
30716,9680835.98574
30717,6310934.98006
30718,8557343.40743
30719,14431254.4654
30720,7073143.27621
30721,3095665.11018
30722,9186138.51723
30723,6471312.71747
30724,12585964.7154
30725,7123920.33313
30726,11423466.5702
30727,10450323.4843
30728,12478230.9383
30729,3420996.11617
30730,5937854.38288
30731,6214170.6504
30732,4758712.22131
30733,9991218.81902
30734,6446632.65722
30735,5500537.3224
30736,4797088.50371
30737,6766277.70567
30738,5972753.73875
30739,4509908.12358
30740,7542729.63987
30741,11337772.8875
30742,3984624.97271
30743,5001684.22665
30744,10251538.9798
30745,6601308.32662
30746,5596830.20658
30747,16019017.4682
30748,16832568.9
30749,5488631.73907
30750,7070564.28004
30751,3582851.62235
30752,7880263.8624
30753,10915391.9963
30754,5633278.61298
30755,3730973.50872
30756,6076158.56612
30757,5342334.74008
30758,9886045.31737
30759,6185420.40815
30760,3705489.94862
30761,9841297.46766
30762,6592300.56893
30763,13908536.1566
30764,5738189.91525
30765,5485589.54907
30766,3719508.38224
30767,9321592.18031
30768,4697023.59269
30769,7347529.60998
30770,5891305.46467
30771,2877504.57223
30772,8696759.15987
30773,7434340.35596
30774,5284900.54257
30775,12214426.9396
30776,5651291.9801
30777,5866319.67785
30778,9390580.81607
30779,6678163.11698
30780,7693518.25655
30781,6993635.71254
30782,5085463.26007
30783,5167616.56321
30784,3680633.12046
30785,5221062.5249
30786,4205112.58913
30787,6003671.74434
30788,5297680.19261
30789,6954232.71867
30790,6477214.53593
30791,10185905.5923
30792,6620505.54829
30793,13543906.4817
30794,14847236.8603
30795,10927539.9715
30796,10666515.1765
30797,17076086.2206
30798,2908695.38029
30799,9993962.87835
30800,13088134.7177
30801,6022184.95742
